"marker","count"
"Itpr2","1"
"JUN","1"
"Junb","2"
"Jund","2"
"KCNH7","1"
"KCNIP2","1"
"Kcnip4","1"
"Kcnj3","1"
"Kif1a","1"
"KIF21A","1"
"L1CAM","1"
"LAMB2","1"
"Lamp1","1"
"Lamp2","1"
"Laptm4a","1"
"LCAT","1"
"Lgals1","1"
"Lgals3bp","1"
"Lgmn","1"
"Lhfp","2"
"LIX1","1"
"LPL","1"
"LRIG1","1"
"LRP1","1"
"Lrp1b","1"
"LRRC3B","1"
"LRRC8A","1"
"Lsamp","1"
"Luzp2","1"
"Lxn","1"
"LYPD1","1"
"Lypla2","1"
"Lysmd2","1"
"MAFB","1"
"Man1a","1"
"Mapk10","1"
"Matn4","1"
"MBP","1"
"Mdga2","1"
"MEF2C","1"
"Meis2","1"
"METTL7A","1"
"Mfap3l","1"
"Mgst1","1"
"Mid1","1"
"MLC1","5"
"MMD2","1"
"Mmp16","1"
"MRVI1","1"
"MT-3","1"
"Mt1","1"
"MT1X","1"
"Mt2","1"
"MT2A","1"
"MT3","1"
"MTHFD2","1"
"N-cadherin","1"
"Naaladl2","1"
"Nav2","1"
"Ncam2","1"
"Nckap5","1"
"NDRG2","2"
"Ndufv3","1"
"nestin","1"
"Nfe2l2","1"
"NFIA","2"
"Nfkb1","1"
"Nfkbia","2"
"Nhsl1","2"
"Nkain2","1"
"NOG","1"
"Npas3","1"
"Npc2","1"
"Nr2f1","1"
"Nrg1","1"
"Nrg2","1"
"NRP1","1"
"Nrxn1","1"
"Ntrk2","2"
"NWD1","1"
"OLIG1","1"
"OLIG2","1"
"Osmr","1"
"P2RY1","1"
"PAPLN","1"
"PAQR6","1"
"Pard3b","1"
"PCDH15","1"
"Pcdh9","1"
"Pde10a","1"
"Pdgfd","1"
"PDGFRA","1"
"Pdia4","1"
"Pdlim4","1"
"Pdpn","1"
"Pdzd2","1"
"PEA15","1"
"PER1","1"
"PFKFB3","1"
"Pfkp","1"
"pGFAP","1"
"Phkg1","1"
"PISD","1"
"Pkp4","1"
"Plce1","1"
"Plcl1","1"
"PLTP","1"
"Plxdc2","1"
"PON2","2"
"Ppib","1"
"PPP1R3C","1"
"PPP1R3G","1"
"Ppp2ca","1"
"Prdx1","1"
"Prdx6","1"
"Prex2","1"
"Prickle2","1"
"Prkca","1"
"PRLHR","1"
"PRRT2","1"
"Prune2","1"
"Psap","2"
"PTGDS","1"
"Ptprz1","1"
"Qk","1"
"Rab18","1"
"Rap1b","1"
"Rasal2","1"
"RASL10A","1"
"RASSF4","1"
"Rassf8","1"
"Rcn2","1"
"Reep5","1"
"RFX4","2"
"Rgl1","1"
"RGMA","1"
"Rhbdf1","1"
"Rhob","2"
"RND3","1"
"RNF43","1"
"Rorb","1"
"Rpl36-ps3","1"
"RYR3","1"
"S100-B","1"
"S100a1","1"
"S100a10","1"
"S100a16","1"
"S100a6","1"
"S100ÃƒÅ¸","1"
"S100B","14"
"S104B","1"
"S1pr3","1"
"Samd4","1"
"Saraf","1"
"Sbno2","1"
"Scarb2","1"
"Scd2","1"
"SCG2","1"
"Scg3","2"
"Scrg1","1"
"Sdc4","1"
"Selk","1"
"SEMA6A","1"
"Sema6d","1"
"SERPINA3","1"
"Serpina3n","1"
"Serpinf1","1"
"Serping1","1"
"SF3A1","1"
"Sgcd","1"
"Shisa5","1"
"Shisa6","1"
"Shroom3","1"
"Sik3","1"
"SLC14A1","3"
"SLC15A2","1"
"Slc16a1","1"
"SLC1A2","6"
"SLC1A3","5"
"Slc20a1","1"
"SLC25A18","1"
"SLC30A10","1"
"Slc35f1","1"
"Slc38a1","1"
"SLC39A11","1"
"SLC39A12","1"
"Slc39a14","1"
"Slc3a2","1"
"SLC4A4","2"
"Smpdl3a","1"
"Sorbs1","1"
"Sorbs2","1"
"SORCS2","1"
"SORL1","1"
"SOX2","2"
"SOX9","7"
"Sparc","1"
"SPARCL1","1"
"Spcs2","1"
"SPOCK1","1"
"SPON1","1"
"Srebf1","1"
"SRPX","1"
"SSTR2","1"
"ST6GAL2","1"
"Stat3","1"
"STOX1","1"
"Sulf1","1"
"Sulf2","1"
"SYNE3","1"
"Synpo2","1"
"Syt11","1"
"TACR1","1"
"Tagln3","1"
"TBC1D10A","1"
"Tgoln1","1"
"Thbs4","1"
"Timp2","1"
"TIMP3","1"
"Tm9sf3","1"
"Tmbim6","1"
"Tmco1","1"
"Tmem100","1"
"TMEM151B","1"
"Tmem176a","1"
"Tmem176b","1"
"Tmem178b","1"
"Tmem47","1"
"Tmem59","1"
"TNS1","1"
"TOB2","1"
"TPCN1","1"
"Tprgl","1"
"TRIL","1"
"TRIM66","1"
"Tsc22d4","2"
"TSP","1"
"TSPAN12","1"
"Tspan3","1"
"Tspan4","1"
"TSPO","1"
"Tst","1"
"Ttc8","1"
"TTPA","1"
"Tuba1a","1"
"Tubb2a","1"
"Tubb2b","1"
"Ubc","1"
"Ube2e2","1"
"Uqcrc2","1"
"Usp24","1"
"Usp53","1"
"VIM","4"
"vimentin","2"
"Vimp","1"
"Vwa1","1"
"YKL-40","1"
"ZFAND5","1"
"ZFP36","1"
"ZFP36L1","1"
"ZFP36L2","1"
"Zfp706","1"
